Type;SKU;Name;Published;Is featured?;Visibility in catalog;Description;Tax status;Tax class;In stock?;Backorders allowed?;Sold individually?;Allow customer reviews?;Regular price;Categories;Tags;Images;Parent;Position;Attribute 1 name;Attribute 1 value(s);Attribute 1 visible;Attribute 1 global;Attribute 2 name;Attribute 2 value(s);Attribute 2 visible;Attribute 2 global
variable;A03924C;Run Star Motion CX Platform High Top;1;1;visible;ALL BLACK EVERYTHING Reflecting the energy of city streets, the Run Star Motion's playful and distorted lines are built for future movement. Reimagined from the inside out, the elevated stance and CX foam midsole help bring next-level comfort to every stride. The upper stays true to the original, juxtaposed by future-forward design details for bold self-expression. An exaggerated, wavy platform and sculptural traction lugs raise you up and help keep you steady with standout traction.;taxable;;1;0;0;1;;Chưa phân loại;;https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03924c_a_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03924c_c_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03924c_e_107x1.jpg;;0;Màu sắc;Black/Black/Black;1;1;Kích cỡ;M 4.5 / W 6;1;1
variation;;Run Star Motion CX Platform High Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03924C;1;Màu sắc;Black/Black/Black;;1;Kích cỡ;M 4.5 / W 6;;1
variable;A03925C;Run Star Motion CX Platform Workwear High Top;1;1;visible;COLOUR THE FUTURE Reflecting the energy of city streets, the Run Star Motion's playful and distorted lines are built for future movement. Reimagined from the inside out, the elevated stance and CX foam midsole help bring next-level comfort to every stride. The upper stays true to the original, juxtaposed by future-forward design details for bold self-expression. An exaggerated, wavy platform and sculptural traction lugs raise you up and help keep you steady with standout traction.;taxable;;1;0;0;1;;Chưa phân loại;;https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03925c_a_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03925c_c_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03925c_d_107x1.jpg;;0;Màu sắc;Beach Stone/Beach Stone/Beach Stone;1;1;Kích cỡ;M 3 / W 4.5 , M 3.5 / W 5 , M 5 / W 6.5 , M 5.5 / W 7 , M 6 / W 7.5;1;1
variation;;Run Star Motion CX Platform Workwear High Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03925C;1;Màu sắc;Beach Stone/Beach Stone/Beach Stone;;1;Kích cỡ;M 3 / W 4.5;;1
variation;;Run Star Motion CX Platform Workwear High Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03925C;2;Màu sắc;Beach Stone/Beach Stone/Beach Stone;;1;Kích cỡ;M 3.5 / W 5;;1
variation;;Run Star Motion CX Platform Workwear High Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03925C;3;Màu sắc;Beach Stone/Beach Stone/Beach Stone;;1;Kích cỡ;M 5 / W 6.5;;1
variation;;Run Star Motion CX Platform Workwear High Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03925C;4;Màu sắc;Beach Stone/Beach Stone/Beach Stone;;1;Kích cỡ;M 5.5 / W 7;;1
variation;;Run Star Motion CX Platform Workwear High Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03925C;5;Màu sắc;Beach Stone/Beach Stone/Beach Stone;;1;Kích cỡ;M 6 / W 7.5;;1
variable;166247C;CONS Fastbreak Pro Mid Top;1;1;visible;BORN IN BASKETBALL, REIMAGINED FOR SKATEBOARDING. Originally released in '83, the Converse Fastbreak was front and centre on the basketball court. At the request of the CONS team, we've reimagined the OG model – this time, for skateboarding. Leather and nylon hold up to all-day sessions, while CONS traction rubber helps with grip and board feel.;taxable;;1;0;0;1;;Chưa phân loại;;https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/1/6/166247c_a_107x1_1.jpg, https://converse.ca/media/catalog/product/cache/7675cebc3e2f09ee2a340c17d68ace33/1/6/166247c_c_107x1_1.jpg, https://converse.ca/media/catalog/product/cache/7675cebc3e2f09ee2a340c17d68ace33/1/6/166247c_d_107x1.jpg;;0;Màu sắc;White/Deep Emerald/Gum;1;1;Kích cỡ;M 7.5 / W 9, M 8 / W 9.5, M 8.5 / W 10, M 11 / W 12.5, M 11.5 / W 13;1;1
variation;;CONS Fastbreak Pro Mid Top;1;0;visible;;taxable;parent;1;0;0;0;100;;;;166247C;1;Màu sắc;White/Deep Emerald/Gum;;1;Kích cỡ;M 7.5 / W 9;;1
variation;;CONS Fastbreak Pro Mid Top;1;0;visible;;taxable;parent;1;0;0;0;100;;;;166247C;2;Màu sắc;White/Deep Emerald/Gum;;1;Kích cỡ;M 8 / W 9.5;;1
variation;;CONS Fastbreak Pro Mid Top;1;0;visible;;taxable;parent;1;0;0;0;100;;;;166247C;3;Màu sắc;White/Deep Emerald/Gum;;1;Kích cỡ;M 8.5 / W 10;;1
variation;;CONS Fastbreak Pro Mid Top;1;0;visible;;taxable;parent;1;0;0;0;100;;;;166247C;4;Màu sắc;White/Deep Emerald/Gum;;1;Kích cỡ;M 11 / W 12.5;;1
variation;;CONS Fastbreak Pro Mid Top;1;0;visible;;taxable;parent;1;0;0;0;100;;;;166247C;5;Màu sắc;White/Deep Emerald/Gum;;1;Kích cỡ;M 11.5 / W 18;;1
variable;A01873C;Converse x Peanuts One Star Low Top;1;1;visible;CONVERSE x PEANUTS. Converse teams up with the iconic comic strip to bring some lighthearted positivity to the world. This limited-edition suede One Star design features custom details and playful graphics of Snoopy and his favorite wingman Woodstock. Get nostalgic with the Converse x Peanuts One Star.;taxable;;1;0;0;1;;Chưa phân loại;;https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a01873c_a_107x1_1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a01873c_c_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a01873c_d_107x1.jpg;;0;Màu sắc;Black/Egret/Gum Honey;1;1;Kích cỡ;M 3 / W 4.5, M 3.5 / W 5, M 4 / W 5.5;1;1
variation;;Converse x Peanuts One Star Low Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A01873C;1;Màu sắc;Black/Egret/Gum Honey;;1;Kích cỡ;M 3 / W 4.5;;1
variation;;Converse x Peanuts One Star Low Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A01873C;2;Màu sắc;Black/Egret/Gum Honey;;1;Kích cỡ;M 3.5 / W 5;;1
variation;;Converse x Peanuts One Star Low Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A01873C;3;Màu sắc;Black/Egret/Gum Honey;;1;Kích cỡ;M 4 / W 5.8;;1
variable;A02945C;One Star Pro Low Top;1;1;visible;GONE PRO In 1974, Converse launched a low-top, suede version of the Chuck Taylor All Star with a simple but vibrant style change—a lone star on the outside of the sneaker. Cut to the early '90s, the reissued One Star becomes a hit among skateboard culture. Today's One Star Pro has upgraded cushioning for impact protection, with rubber-backed suede for maximum durability and a classic look.;taxable;;1;0;0;1;;Chưa phân loại;;https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a02945c_a_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a02945c_c_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a02945c_d_107x1.jpg;;0;Màu sắc;Red Oak/White/Black;1;1;Kích cỡ;M 6.5 / W 8, M 9.5 / W 11;1;1
variation;;One Star Pro Low Top;1;0;visible;;taxable;parent;1;0;0;0;90;;;;A02945C;1;Màu sắc;Red Oak/White/Black;;1;Kích cỡ;M 6.5 / W 8;;1
variation;;One Star Pro Low Top;1;0;visible;;taxable;parent;1;0;0;0;90;;;;A02945C;2;Màu sắc;Red Oak/White/Black;;1;Kích cỡ;M 9.5 / W 11;;1
variable;A02777C;Chuck 70 AT-CX Earth Tones High Top;1;1;visible;EARTH TREKKER The Chuck 70 AT-CX combines heavyweight canvas with classic outdoor colours and CX comfort to keep up with the always wondering, always wandering creative explorer. Innovative CX foam cushioning provides next-level comfort for all-day exploration, while iconic Chuck 70 details gives you versatile style to go from city life, to the great outdoors, and back. Rounded out with a durable toe cap and diamond lugged traction outsole for better grip.;taxable;;1;0;0;1;;Chưa phân loại;;https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a02777c_a_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a02777c_c_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a02777c_d_107x1.jpg;;0;Màu sắc;Roasted/Beach Stone/Alligator Friend;1;1;Kích cỡ;M 3 / W 5, M 3.5 / W 5.5, M 4 / W 6, M 4.5 / W 6.5, M 5 / W 7, M 5.5 / W 7.5, M 6 / W 8, M 6.5 / W 8.5, M 7 / W 9, M 7.5 / W 9.5, M 8 / W 10, M 8.5 / W 10.5, M 9 / W 11, M 9.5 / W 11.5, M 10 / W 12, M 10.5 / W 12.5;1;1
variation;;Chuck 70 AT-CX Earth Tones High Top;1;0;visible;;taxable;parent;1;0;0;0;140;;;;A02777C;1;Màu sắc;Roasted/Beach Stone/Alligator Friend;;1;Kích cỡ;M 3 / W 5;;1
variation;;Chuck 70 AT-CX Earth Tones High Top;1;0;visible;;taxable;parent;1;0;0;0;140;;;;A02777C;2;Màu sắc;Roasted/Beach Stone/Alligator Friend;;1;Kích cỡ;M 3.5 / W 5.5;;1
variation;;Chuck 70 AT-CX Earth Tones High Top;1;0;visible;;taxable;parent;1;0;0;0;140;;;;A02777C;3;Màu sắc;Roasted/Beach Stone/Alligator Friend;;1;Kích cỡ;M 4 / W 6;;1
variation;;Chuck 70 AT-CX Earth Tones High Top;1;0;visible;;taxable;parent;1;0;0;0;140;;;;A02777C;4;Màu sắc;Roasted/Beach Stone/Alligator Friend;;1;Kích cỡ;M 4.5 / W 6.5;;1
variation;;Chuck 70 AT-CX Earth Tones High Top;1;0;visible;;taxable;parent;1;0;0;0;140;;;;A02777C;5;Màu sắc;Roasted/Beach Stone/Alligator Friend;;1;Kích cỡ;M 5 / W 7;;1
variation;;Chuck 70 AT-CX Earth Tones High Top;1;0;visible;;taxable;parent;1;0;0;0;140;;;;A02777C;6;Màu sắc;Roasted/Beach Stone/Alligator Friend;;1;Kích cỡ;M 5.5 / W 7.5;;1
variation;;Chuck 70 AT-CX Earth Tones High Top;1;0;visible;;taxable;parent;1;0;0;0;140;;;;A02777C;7;Màu sắc;Roasted/Beach Stone/Alligator Friend;;1;Kích cỡ;M 6 / W 8;;1
variation;;Chuck 70 AT-CX Earth Tones High Top;1;0;visible;;taxable;parent;1;0;0;0;140;;;;A02777C;8;Màu sắc;Roasted/Beach Stone/Alligator Friend;;1;Kích cỡ;M 6.5 / W 8.5;;1
variation;;Chuck 70 AT-CX Earth Tones High Top;1;0;visible;;taxable;parent;1;0;0;0;140;;;;A02777C;9;Màu sắc;Roasted/Beach Stone/Alligator Friend;;1;Kích cỡ;M 7 / W 9;;1
variation;;Chuck 70 AT-CX Earth Tones High Top;1;0;visible;;taxable;parent;1;0;0;0;140;;;;A02777C;10;Màu sắc;Roasted/Beach Stone/Alligator Friend;;1;Kích cỡ;M 7.5 / W 9.5;;1
variation;;Chuck 70 AT-CX Earth Tones High Top;1;0;visible;;taxable;parent;1;0;0;0;140;;;;A02777C;11;Màu sắc;Roasted/Beach Stone/Alligator Friend;;1;Kích cỡ;M 8 / W 10;;1
variation;;Chuck 70 AT-CX Earth Tones High Top;1;0;visible;;taxable;parent;1;0;0;0;140;;;;A02777C;12;Màu sắc;Roasted/Beach Stone/Alligator Friend;;1;Kích cỡ;M 8.5 / W 10.5;;1
variation;;Chuck 70 AT-CX Earth Tones High Top;1;0;visible;;taxable;parent;1;0;0;0;140;;;;A02777C;13;Màu sắc;Roasted/Beach Stone/Alligator Friend;;1;Kích cỡ;M 9 / W 11;;1
variation;;Chuck 70 AT-CX Earth Tones High Top;1;0;visible;;taxable;parent;1;0;0;0;140;;;;A02777C;14;Màu sắc;Roasted/Beach Stone/Alligator Friend;;1;Kích cỡ;M 9.5 / W 11.5;;1
variation;;Chuck 70 AT-CX Earth Tones High Top;1;0;visible;;taxable;parent;1;0;0;0;140;;;;A02777C;15;Màu sắc;Roasted/Beach Stone/Alligator Friend;;1;Kích cỡ;M 10 / W 12;;1
variation;;Chuck 70 AT-CX Earth Tones High Top;1;0;visible;;taxable;parent;1;0;0;0;140;;;;A02777C;16;Màu sắc;Roasted/Beach Stone/Alligator Friend;;1;Kích cỡ;M 10.5 / W 12.5;;1
variable;A04332C;All Star BB Prototype CX Thunder & Lightning Mid Top;1;1;visible;ENERGY AMPLIFIED Rich, UV-activated pops of lightning to give you breathable comfort and an elevated look that combines the best of sport and style. An integrated pull tab allows for easy-on. With a hidden webbing lacing system for maximum support and containment while making moves, and a TPU on the shank and forefoot for stability. The CX foam sockliner and midsole give you the support you need underfoot. Smooth moves.;taxable;;1;0;0;1;;Chưa phân loại;;https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a04332c_a_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a04332c_c_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a04332c_d_107x1.jpg;;0;Màu sắc;Blue Flame/Magic Fire/Uncharted Waters;1;1;Kích cỡ;M 7 / W 8.5, M 7.5 / W 9, M 8 / W 9.5, M 8.5 / W 10, M 9 / W 10.5, M 9.5 / W 11, M 10 / W 11.5, M 10.5 / W 12, M 11.5 / W 13, M 14 / W 15.5, M 13 / W 14;1;1
variation;;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A04332C;1;Màu sắc;Blue Flame/Magic Fire/Uncharted Waters;;1;Kích cỡ;M 7 / W 8.5;;1
variation;;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A04332C;2;Màu sắc;Blue Flame/Magic Fire/Uncharted Waters;;1;Kích cỡ;M 7.5 / W 9;;1
variation;;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A04332C;3;Màu sắc;Blue Flame/Magic Fire/Uncharted Waters;;1;Kích cỡ;M 8 / W 9.5;;1
variation;;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A04332C;4;Màu sắc;Blue Flame/Magic Fire/Uncharted Waters;;1;Kích cỡ;M 8.5 / W 10;;1
variation;;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A04332C;5;Màu sắc;Blue Flame/Magic Fire/Uncharted Waters;;1;Kích cỡ;M 9 / W 10.5;;1
variation;;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A04332C;6;Màu sắc;Blue Flame/Magic Fire/Uncharted Waters;;1;Kích cỡ;M 9.5 / W 11;;1
variation;;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A04332C;7;Màu sắc;Blue Flame/Magic Fire/Uncharted Waters;;1;Kích cỡ;M 10 / W 11.5;;1
variation;;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A04332C;8;Màu sắc;Blue Flame/Magic Fire/Uncharted Waters;;1;Kích cỡ;M 10.5 / W 12;;1
variation;;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A04332C;9;Màu sắc;Blue Flame/Magic Fire/Uncharted Waters;;1;Kích cỡ;M 11.5 / W 13;;1
variation;;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A04332C;10;Màu sắc;Blue Flame/Magic Fire/Uncharted Waters;;1;Kích cỡ;M 14 / W 15.5;;1
variation;;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A04332C;11;Màu sắc;Blue Flame/Magic Fire/Uncharted Waters;;1;Kích cỡ;M 13 / W 14;;1
variable;A03901C;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;STRIKE TWICE Mesh mixes with suede and rich, UV-activated gradient pops to give you breathable comfort and an elevated look that combines the best of sport and style. A hidden webbing lacing system delivers maximum support and containment while making moves. The TPU shank and forefoot adds stability, and the CX foam sockliner and midsole give you the support you need underfoot. Smooth moves.;taxable;;1;0;0;0;150;Chưa phân loại;;https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03901c_a_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03901c_c_107x1.jpg;;0;Màu sắc;White/Lava Glow/Agate Blue;1;1;Kích cỡ;M 7 / W 8.5, M 7.5 / W 9, M 8 / W 9.5, M 8.5 / W 10, M 9 / W 10.5, M 9.5 / W 11, M 10 / W 11.5, M 10.5 / W 12, M 11 / W 12.5, M 11.5 / W 13, M 14 / W 15.5;1;1
variation;;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03901C;1;Màu sắc;White/Lava Glow/Agate Blue;;1;Kích cỡ;M 7 / W 8.5;;1
variation;;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03901C;2;Màu sắc;White/Lava Glow/Agate Blue;;1;Kích cỡ;M 7.5 / W 9;;1
variation;;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03901C;3;Màu sắc;White/Lava Glow/Agate Blue;;1;Kích cỡ;M 8 / W 9.5;;1
variation;;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03901C;4;Màu sắc;White/Lava Glow/Agate Blue;;1;Kích cỡ;M 8.5 / W 10;;1
variation;;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03901C;5;Màu sắc;White/Lava Glow/Agate Blue;;1;Kích cỡ;M 9 / W 10.5;;1
variation;;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03901C;6;Màu sắc;White/Lava Glow/Agate Blue;;1;Kích cỡ;M 9.5 / W 11;;1
variation;;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03901C;7;Màu sắc;White/Lava Glow/Agate Blue;;1;Kích cỡ;M 10 / W 11.5;;1
variation;;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03901C;8;Màu sắc;White/Lava Glow/Agate Blue;;1;Kích cỡ;M 10.5 / W 12;;1
variation;;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03901C;9;Màu sắc;White/Lava Glow/Agate Blue;;1;Kích cỡ;M 11 / W 12.5;;1
variation;;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03901C;10;Màu sắc;White/Lava Glow/Agate Blue;;1;Kích cỡ;M 11.5 / W 13;;1
variation;;All Star BB Prototype CX Thunder & Lightning Mid Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03901C;11;Màu sắc;White/Lava Glow/Agate Blue;;1;Kích cỡ;M 14 / W 15.5;;1
variable;A02748C;Chuck 70 Workwear High Top;1;0;visible;CRAFT AT WORK The Chuck 70 unifies two timeless workwear textiles—corduroy and cotton twill—into a uniquely crafted style. A combination of corduroy and cotton twill creates a colour-blocked look that nods to the past and minds the future. OrthoLite cushioning gives you all-day support.;taxable;;1;0;0;0;;;;https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a02748c_a_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a02748c_e_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a02748c_f_107x1.jpg;;0;Màu sắc;Burnt Honey/Egret/Black;1;1;Kích cỡ;M 3.5 / W 5.5;1;1
variation;;Chuck 70 Workwear High Top;1;0;visible;;taxable;parent;1;0;0;0;110;;;;A02748C;1;Màu sắc;Burnt Honey/Egret/Black;;1;Kích cỡ;M 3.5 / W 5.6;;1
variable;A04334C;Run Star Motion CX Platform SGA High Top;1;0;visible;ALL STAR PLATFORM An evolution of our most popular platform ever, the Run Star Hike, the new Run Star Motion takes your style even further. The iconic suede high top comes together with a bold, exaggerated outsole and wavy midsole detailing for a truly unique look. Ultra-comfortable CX foam cushioning provides premium comfort and support, and a Gilgeous-Alexander screen print on the tongue webbing pays homage to who's up next in the NBA.;taxable;;1;0;0;0;;;;https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a04334c_a_107x1_5.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a04334c_c_107x1_2.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a04334c_e_107x1_1.jpg;;0;Màu sắc;Oat Milk/Champagne Tan/Champagne Tan;1;1;Kích cỡ;M 7 / W 8.5, M 7.5 / W 9, M 8 / W 9.5, M 8.5 / W 10, M 9 / W 10.5, M 9.5 / W 11, M 10 / W 11.5, M 10.5 / W 12, M 11 / W 12.5, M 11.5 / W 13, M 13 / W 14;1;1
variation;;Run Star Motion CX Platform SGA High Top;1;0;visible;;taxable;parent;1;0;0;0;160;;;;A04334C;1;Màu sắc;Oat Milk/Champagne Tan/Champagne Tan;;1;Kích cỡ;M 7 / W 8.5;;1
variation;;Run Star Motion CX Platform SGA High Top;1;0;visible;;taxable;parent;1;0;0;0;160;;;;A04334C;2;Màu sắc;Oat Milk/Champagne Tan/Champagne Tan;;1;Kích cỡ;M 7.5 / W 9;;1
variation;;Run Star Motion CX Platform SGA High Top;1;0;visible;;taxable;parent;1;0;0;0;160;;;;A04334C;3;Màu sắc;Oat Milk/Champagne Tan/Champagne Tan;;1;Kích cỡ;M 8 / W 9.5;;1
variation;;Run Star Motion CX Platform SGA High Top;1;0;visible;;taxable;parent;1;0;0;0;160;;;;A04334C;4;Màu sắc;Oat Milk/Champagne Tan/Champagne Tan;;1;Kích cỡ;M 8.5 / W 10;;1
variation;;Run Star Motion CX Platform SGA High Top;1;0;visible;;taxable;parent;1;0;0;0;160;;;;A04334C;5;Màu sắc;Oat Milk/Champagne Tan/Champagne Tan;;1;Kích cỡ;M 9 / W 10.5;;1
variation;;Run Star Motion CX Platform SGA High Top;1;0;visible;;taxable;parent;1;0;0;0;160;;;;A04334C;6;Màu sắc;Oat Milk/Champagne Tan/Champagne Tan;;1;Kích cỡ;M 9.5 / W 11;;1
variation;;Run Star Motion CX Platform SGA High Top;1;0;visible;;taxable;parent;1;0;0;0;160;;;;A04334C;7;Màu sắc;Oat Milk/Champagne Tan/Champagne Tan;;1;Kích cỡ;M 10 / W 11.5;;1
variation;;Run Star Motion CX Platform SGA High Top;1;0;visible;;taxable;parent;1;0;0;0;160;;;;A04334C;8;Màu sắc;Oat Milk/Champagne Tan/Champagne Tan;;1;Kích cỡ;M 10.5 / W 12;;1
variation;;Run Star Motion CX Platform SGA High Top;1;0;visible;;taxable;parent;1;0;0;0;160;;;;A04334C;9;Màu sắc;Oat Milk/Champagne Tan/Champagne Tan;;1;Kích cỡ;M 11 / W 12.5;;1
variation;;Run Star Motion CX Platform SGA High Top;1;0;visible;;taxable;parent;1;0;0;0;160;;;;A04334C;10;Màu sắc;Oat Milk/Champagne Tan/Champagne Tan;;1;Kích cỡ;M 11.5 / W 13;;1
variation;;Run Star Motion CX Platform SGA High Top;1;0;visible;;taxable;parent;1;0;0;0;160;;;;A04334C;11;Màu sắc;Oat Milk/Champagne Tan/Champagne Tan;;1;Kích cỡ;M 13 / W 14;;1
variable;A03081C;Chuck 70 Beyond Retro High Top;1;0;visible;UPCYCLED MATERIALS, LEGENDARY STYLE The best-ever Chuck 70 gets an upcycled update. A mix of small and wide wale corduroy gets a second shot at life on your favourite sneakers. A patchwork design, raw edges, and embroidered eyelets bring a crafted, DIY vibe to the icon, while unmistakable Chuck Taylor elements show off your style. Look good, feel good.;taxable;;1;0;0;;;;;https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03081c_a_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03081c_c_107x1.jpg;;0;Màu sắc;Black/Navy/Egret;1;1;Kích cỡ;M 6 / W 8, M 6.5 / W 8.5, M 7 / W 9, M 8 / W 10, M 8.5 / W 10.5, M 9 / W 11, M 9.5 / W 11.5;1;1
variation;;Chuck 70 Beyond Retro High Top;1;0;visible;;taxable;parent;1;0;0;0;130;;;;A03081C;1;Màu sắc;Black/Navy/Egret;;1;Kích cỡ;M 6 / W 8;;1
variation;;Chuck 70 Beyond Retro High Top;1;0;visible;;taxable;parent;1;0;0;0;130;;;;A03081C;2;Màu sắc;Black/Navy/Egret;;1;Kích cỡ;M 6.5 / W 8.5;;1
variation;;Chuck 70 Beyond Retro High Top;1;0;visible;;taxable;parent;1;0;0;0;130;;;;A03081C;3;Màu sắc;Black/Navy/Egret;;1;Kích cỡ;M 7 / W 9;;1
variation;;Chuck 70 Beyond Retro High Top;1;0;visible;;taxable;parent;1;0;0;0;130;;;;A03081C;4;Màu sắc;Black/Navy/Egret;;1;Kích cỡ;M 8 / W 10;;1
variation;;Chuck 70 Beyond Retro High Top;1;0;visible;;taxable;parent;1;0;0;0;130;;;;A03081C;5;Màu sắc;Black/Navy/Egret;;1;Kích cỡ;M 8.5 / W 10.5;;1
variation;;Chuck 70 Beyond Retro High Top;1;0;visible;;taxable;parent;1;0;0;0;130;;;;A03081C;6;Màu sắc;Black/Navy/Egret;;1;Kích cỡ;M 9 / W 11;;1
variation;;Chuck 70 Beyond Retro High Top;1;0;visible;;taxable;parent;1;0;0;0;130;;;;A03081C;7;Màu sắc;Black/Navy/Egret;;1;Kích cỡ;M 9.5 / W 11.5;;1
variable;A03082C;Chuck 70 Beyond Retro Low Top;1;0;visible;UPCYCLED MATERIALS, LEGENDARY STYLE The best-ever Chuck 70 gets an upcycled update. A mix of small and wide wale corduroy gets a second shot at life on your favourite sneakers. A patchwork design, raw edges, and embroidered eyelets bring a crafted, DIY vibe to the icon, while unmistakable Chuck Taylor elements show off your style. Look good, feel good.;taxable;;1;0;0;0;;;;https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03082c_a_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03082c_c_107x1.jpg;;0;Màu sắc;Tan/Brown/Egret;;1;Kích cỡ;M 8 / W 10, M 9.5 / W 11.5, M 11.5 / W 13.5, M 12 / W 14;1;1
