Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 1 type,Attribute 1 swatch(s),Attribute 2 type,Attribute 2 swatch(s),Attribute 3 type,Attribute 3 swatch(s),Attribute 4 type,Attribute 4 swatch(s),Attribute 5 type,Attribute 5 swatch(s)
variable,162050C,Chuck 70 High Tops,1,1,visible,,"The Converse All Star Chuck ’70 is our re-crafted sneaker that uses modern details to celebrate the original Chuck Taylor All Star from the 1970's. It features a slightly higher rubber foxing, a cushioned footbed that provides long-lasting comfort and a more substantial rubber toe cap. Additional vintage details include stitching on the sidewall and a heavier-grade canvas upper for comfort and durability. It’s an authentic throwback look that retains the iconic Chuck Taylor attributes you know and love, like the star-centered ankle patch and vulcanized rubber outsole.",,,taxable,,5,,1,,,,Women,,,"https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/1/6/162050c_a_107x1_1.jpg, https://converse.ca/media/catalog/product/cache/7675cebc3e2f09ee2a340c17d68ace33/1/6/162050c_c_107x1.jpg, https://converse.ca/media/catalog/product/cache/7675cebc3e2f09ee2a340c17d68ace33/1/6/162050c_f_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/1/6/162053c_a_107x1.jpg",,,,,,,,,0,Màu sắc,Black,1,1,Kích cỡ,"M 3 / W 5, M 3.5 / W 5.5, M 4 / W 6, M 4.5 / W 6.5, M 6 / W 8, M 6.5 / W 8.5, M 7.5 / W 9.5, M 8 / W 10, M 8.5 / W 10.5, M 9 / W 11, M 9.5 / W 11.5, M 10 / W 12, M 10.5 / W 12.5, M 11 / W 13, M 11.5 / W 13.5, M 12 / W 14, M 13 / W 15, M 16 / W 18",1,1,Loại giày,High Tops,0,1,Giá,Từ CA$100.00 đến CA$150.00,0,1,Kích cỡ,"M 3 / W 5, M 3.5 / W 5.5, M 4 / W 6, M 4.5 / W 6.5, M 6 / W 8, M 6.5 / W 8.5, M 7.5 / W 9.5, M 8 / W 10, M 8.5 / W 10.5, M 9 / W 11, M 9.5 / W 11.5, M 10 / W 12, M 10.5 / W 12.5, M 11 / W 13, M 11.5 / W 13.5, M 12 / W 14, M 13 / W 15, M 16 / W 18",1,1,image,,,"#000000, #9c9797",label,,radio,,label,", , , , , , , , , , , , , , , , , , , , , ,"
variation,,Chuck 70 High Tops,1,0,visible,,,,,taxable,parent,5,,0,,,100,,,,,,,162050C,,,,,,1,Màu sắc,Parchment,,1,Kích cỡ,,,1,,,,,,,,,,,,,,,,,,,,,,
