Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Allow customer reviews?,Sale price,Regular price,Categories,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 1 type,Attribute 1 swatch(s),Attribute 2 type,Attribute 2 swatch(s),Attribute 3 type,Attribute 3 swatch(s),Attribute 4 type,Attribute 4 swatch(s),Attribute 5 type,Attribute 5 swatch(s)
variable,A09473C,Chuck 70 Workwear High Top,1,0,visible,,CRAFT AT WORK The Chuck 70 unifies two timeless workwear textiles—corduroy and cotton twill—into a uniquely crafted style. A combination of corduroy and cotton twill creates a colour-blocked look that nods to the past and minds the future. OrthoLite cushioning gives you all-day support.,,,,taxable,1,2,1,,,Men,,"https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a02748c_a_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03145c_c_107x1.jpg",,,,,,,,,0,Màu sắc,Burnt Honey/Egret/Black,1,1,Loại giày,High Tops,0,1,Màu chủ đạo,Black,0,1,Giá,Từ CA$100.00 đến CA$150.00,0,1,Kích cỡ,"M 3 / W 5, M 3.5 / W 5.5, M 4 / W 6, M 4.5 / W 6.5, M 5 / W 7, M 5.5 / W 7.5, M 6.5 / W 8.5, M 7.5 / W 9.5, M 8 / W 10, M 8.5 / W 10.5, M 9 / W 11, M 10.5 / W 12.5, M 11 / W 13, M 13 / W 15",1,1,label,,radio,,label,#000000,label,,label," , , , , , , , , , , , , , "
variation,,Chuck 70 Workwear High Top,1,0,visible,,,,,taxable,parent,1,2,0,,120,,,,,,A09473C,,,,,,1,Màu sắc,,,1,Kích cỡ,,,1,,,,,,,,,,,,,,,,,,,,,,
