Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 1 type,Attribute 1 swatch(s),Attribute 2 type,Attribute 2 swatch(s),Attribute 3 type,Attribute 3 swatch(s),Attribute 4 type,Attribute 4 swatch(s),Attribute 5 type,Attribute 5 swatch(s)
variable,A03925C,Run Star Motion CX Platform Workwear High Top,1,1,visible,,"COLOUR THE FUTURE Reflecting the energy of city streets, the Run Star Motion's playful and distorted lines are built for future movement. Reimagined from the inside out, the elevated stance and CX foam midsole help bring next-level comfort to every stride. The upper stays true to the original, juxtaposed by future-forward design details for bold self-expression. An exaggerated, wavy platform and sculptural traction lugs raise you up and help keep you steady with standout traction.",,,taxable,,5,,1,,,,Women,,,"https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03925c_a_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03925c_c_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03925c_d_107x1.jpg",,,,,,,,,0,Màu sắc,Cactus Flower/Egret/Natural Ivory,1,1,Màu chủ đạo,Beach Stone/Beach Stone/Beach Stone,0,1,Loại giày,High Tops,0,1,Giá,Từ CA$100.00 đến CA$150.00,0,1,Kích cỡ,"M 3 / W 4.5 , M 3.5 / W 5 , M 5 / W 6.5 , M 5.5 / W 7 , M 6 / W 7.5",1,1,image,https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03925c_a_107x1.jpg,color,#604f45,label,,radio,,label,", , , , , , , , , , , , "
variation,,Run Star Motion CX Platform Workwear High Top,1,0,visible,,,,,taxable,parent,5,,0,,,150,,,,,,,A03925C,,,,,,1,Màu sắc,,,1,Kích cỡ,,,1,,,,,,,,,,,,,,,,,,,,,,
variable,166247C,CONS Fastbreak Pro Mid Top,1,1,visible,,"BORN IN BASKETBALL, REIMAGINED FOR SKATEBOARDING. Originally released in '83, the Converse Fastbreak was front and centre on the basketball court. At the request of the CONS team, we've reimagined the OG model – this time, for skateboarding. Leather and nylon hold up to all-day sessions, while CONS traction rubber helps with grip and board feel.",,,taxable,,10,,1,,,,Women,,,"https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/1/6/166247c_a_107x1_1.jpg, https://converse.ca/media/catalog/product/cache/7675cebc3e2f09ee2a340c17d68ace33/1/6/166247c_c_107x1_1.jpg, https://converse.ca/media/catalog/product/cache/7675cebc3e2f09ee2a340c17d68ace33/1/6/166247c_d_107x1.jpg",,,,,,,,,0,Màu sắc,Iron/Egret/Natural Ivory,1,1,Màu chủ đạo,White/Deep Emerald/Gum,0,1,Loại giày,Mid Tops,0,1,Giá,Từ CA$100.00 đến CA$150.00,0,1,Kích cỡ,"M 7.5 / W 9, M 8 / W 9.5, M 8.5 / W 10, M 11 / W 12.5, M 11.5 / W 13",1,1,image,https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/1/6/166247c_a_107x1_1.jpg,color,#f0f0f1,label,,radio,,label,", , , , , , , , , , , , , , , "
variation,,CONS Fastbreak Pro Mid Top,1,0,visible,,,,,taxable,parent,10,,0,,,100,,,,,,,166247C,,,,,,1,Màu sắc,Cactus Flower/Egret/Natural Ivory,,1,Kích cỡ,,,1,,,,,,,,,,,,,,,,,,,,,,
