Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 1 type,Attribute 1 swatch(s),Attribute 2 type,Attribute 2 swatch(s),Attribute 3 type,Attribute 3 swatch(s),Attribute 4 type,Attribute 4 swatch(s),Attribute 5 type,Attribute 5 swatch(s)
variable,A03925C,Run Star Motion CX Platform Workwear High Top,1,1,visible,,"COLOUR THE FUTURE Reflecting the energy of city streets, the Run Star Motion's playful and distorted lines are built for future movement. Reimagined from the inside out, the elevated stance and CX foam midsole help bring next-level comfort to every stride. The upper stays true to the original, juxtaposed by future-forward design details for bold self-expression. An exaggerated, wavy platform and sculptural traction lugs raise you up and help keep you steady with standout traction.",,,taxable,,1,3,,0,0,,,,,1,,,,Women,,,"https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03925c_a_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03925c_c_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03925c_d_107x1.jpg",,,,,,,,,0,Màu sắc,Beach Stone/Beach Stone/Beach Stone,1,1,Loại giày,High Tops,0,1,Màu chủ đạo,Brown,0,1,Giá,Từ CA$100.00 đến CA$150.00,0,1,Kích cỡ,"M 3 / W 4.5 , M 3.5 / W 5 , M 5 / W 6.5 , M 5.5 / W 7 , M 6 / W 7.5",1,1,label,,radio,,label,#604f45,label,,label," , , , , "
variation,,Run Star Motion CX Platform Workwear High Top,1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,,150,,,,,,,A03925C,,,,,,1,Màu sắc,Beach Stone/Beach Stone/Beach Stone,,1,Kích cỡ,,,1,,,,,,,,,,,,,,,,,,,,,,
